gate,drift_m,ok,delta_axis_m,tracking_err_m,net_m,pos_drift_m,tracking_err_rad,moved_m,delta_pos_m,stop_ok,clear_ok
hold,2.0978124666726217e-05,True,,,,,,,,,
trans_x_plus,,False,0.0,0.0009999871253967285,,,,,,,
trans_x_minus,,False,0.000620722770690918,0.0006679960642941296,,,,,,,
trans_x_net,,True,,,0.0006679960642941296,,,,,,
trans_y_plus,,False,-3.3721327781677246e-05,0.0010000020265579224,,,,,,,
trans_y_minus,,False,0.0005022287368774414,0.0005038799718022346,,,,,,,
trans_y_net,,True,,,0.0005038799718022346,,,,,,
trans_z_plus,,False,0.0,0.0009999871253967285,,,,,,,
trans_z_minus,,False,0.0008161067962646484,0.0007561704842373729,,,,,,,
trans_z_net,,True,,,0.000825259427074343,,,,,,
rot_roll_plus,,True,,,,0.00016285972378682345,0.01585006177696683,,,,
rot_roll_minus,,True,,,,0.0003736201033461839,0.018560297703805496,,,,
rot_pitch_plus,,True,,,,0.00018247189291287214,0.015047480424743964,,,,
rot_pitch_minus,,True,,,,0.0003496205317787826,0.014943161839369907,,,,
rot_yaw_plus,,True,,,,0.00011733722203643993,0.018491473692950434,,,,
rot_yaw_minus,,True,,,,0.0003319037496112287,0.019953776660502104,,,,
clip,,True,,,,,,0.0,0.001,,
crash_stop,,True,,,,,,,,True,True
